name,country
Saskatoon,Canada
Markowa,Poland
Skhodnitsa,Ukraine
Baluk,Indonesia
Pianling,China
Cariaco,Venezuela
Montélimar,France
Ishim,Russia
Quiaios,Portugal
Bato,Philippines
Nagutskoye,Russia
Cisitu,Indonesia
Luodian,China
Hirado,Japan
Picassinos,Portugal
pamas,Iran
Baixo Guandu,Brazil
Terrugem,Portugal
Cherga,Russia
Xaçmaz,Azerbaijan
Chrást,Czech Republic
Shangyi,China
Náfplio,Greece
Wielbark,Poland
Sala,Sweden
Kurortnyy,Russia
Maracay,Venezuela
Winneba,Ghana
Huangben,China
Itabirito,Brazil
Beckerich,Luxembourg
Carlton,United Kingdom
Tzaneen,South Africa
Cruz Alta,Brazil
Kota Kinabalu,Malaysia
Evansville,United States
Viljoenskroon,South Africa
Wulongshan,China
Dvurechensk,Russia
Ishurdi,Bangladesh
Morinville,Canada
Bayamo,Cuba
Stavanger,Norway
Tahoua,Niger
Pagelaran,Indonesia
Vitez,Bosnia and Herzegovina
Chujiang,China
Qixia,China
Qingnianlu,China
Simpanganduwet,Indonesia
